Date Saved,2025/03/26 11:10:33
Spectral Data 440[nm],0.014051615261
Spectral Data 441[nm],0.014539740048
Spectral Data 442[nm],0.015042542480
Spectral Data 443[nm],0.015547987074
Spectral Data 444[nm],0.016050543636
Spectral Data 445[nm],0.016545962542
Spectral Data 446[nm],0.017029982060
Spectral Data 447[nm],0.017496531829
Spectral Data 448[nm],0.017935609445
Spectral Data 449[nm],0.018336702138
Spectral Data 450[nm],0.018689367920
Spectral Data 451[nm],0.018987420946
Spectral Data 452[nm],0.019231153652
Spectral Data 453[nm],0.019421404228
Spectral Data 454[nm],0.019559144974
Spectral Data 455[nm],0.019648576155
Spectral Data 456[nm],0.019697371870
Spectral Data 457[nm],0.019713403657
Spectral Data 458[nm],0.019704338163
Spectral Data 459[nm],0.019674895331
Spectral Data 460[nm],0.019627464935
Spectral Data 461[nm],0.019564358518
Spectral Data 462[nm],0.019488085061
Spectral Data 463[nm],0.019403060898
Spectral Data 464[nm],0.019314769655
Spectral Data 465[nm],0.019228702411
Spectral Data 466[nm],0.019149877131
Spectral Data 467[nm],0.019080325961
Spectral Data 468[nm],0.019020922482
Spectral Data 469[nm],0.018972534686
Spectral Data 470[nm],0.018936162814
Spectral Data 471[nm],0.018913380802
Spectral Data 472[nm],0.018905911595
Spectral Data 473[nm],0.018915478140
Spectral Data 474[nm],0.018941754475
Spectral Data 475[nm],0.018978508189
Spectral Data 476[nm],0.019018445164
Spectral Data 477[nm],0.019054295495
Spectral Data 478[nm],0.019081423059
Spectral Data 479[nm],0.019100433215
Spectral Data 480[nm],0.019112566486
Spectral Data 481[nm],0.019119070843
Spectral Data 482[nm],0.019121639431
Spectral Data 483[nm],0.019122598693
Spectral Data 484[nm],0.019124330953
Spectral Data 485[nm],0.019129285589
Spectral Data 486[nm],0.019141538069
Spectral Data 487[nm],0.019166834652
Spectral Data 488[nm],0.019210997969
Spectral Data 489[nm],0.019279295579
Spectral Data 490[nm],0.019369384274
Spectral Data 491[nm],0.019473351538
Spectral Data 492[nm],0.019583163783
Spectral Data 493[nm],0.019691068679
Spectral Data 494[nm],0.019791809842
Spectral Data 495[nm],0.019881416112
Spectral Data 496[nm],0.019955929369
Spectral Data 497[nm],0.020012458786
Spectral Data 498[nm],0.020054293796
Spectral Data 499[nm],0.020086929202
Spectral Data 500[nm],0.020115857944
Spectral Data 501[nm],0.020146451890
Spectral Data 502[nm],0.020183386281
Spectral Data 503[nm],0.020231217146
Spectral Data 504[nm],0.020294493064
Spectral Data 505[nm],0.020374353975
Spectral Data 506[nm],0.020462661982
Spectral Data 507[nm],0.020549714565
Spectral Data 508[nm],0.020625829697
Spectral Data 509[nm],0.020683690906
Spectral Data 510[nm],0.020720444620
Spectral Data 511[nm],0.020733738318
Spectral Data 512[nm],0.020721327513
Spectral Data 513[nm],0.020685683936
Spectral Data 514[nm],0.020635550842
Spectral Data 515[nm],0.020580118522
Spectral Data 516[nm],0.020528528839
Spectral Data 517[nm],0.020489048213
Spectral Data 518[nm],0.020469112322
Spectral Data 519[nm],0.020476123318
Spectral Data 520[nm],0.020516663790
Spectral Data 521[nm],0.020587064326
Spectral Data 522[nm],0.020676756278
Spectral Data 523[nm],0.020775044337
Spectral Data 524[nm],0.020871505141
Spectral Data 525[nm],0.020958356559
Spectral Data 526[nm],0.021029051393
Spectral Data 527[nm],0.021077040583
Spectral Data 528[nm],0.021098423749
Spectral Data 529[nm],0.021103637293
Spectral Data 530[nm],0.021107947454
Spectral Data 531[nm],0.021126616746
Spectral Data 532[nm],0.021170010790
Spectral Data 533[nm],0.021230574697
Spectral Data 534[nm],0.021296661347
Spectral Data 535[nm],0.021356623620
Spectral Data 536[nm],0.021400628611
Spectral Data 537[nm],0.021423345432
Spectral Data 538[nm],0.021420145407
Spectral Data 539[nm],0.021386444569
Spectral Data 540[nm],0.021321838722
Spectral Data 541[nm],0.021233186126
Spectral Data 542[nm],0.021128080785
Spectral Data 543[nm],0.021014127880
Spectral Data 544[nm],0.020899295807
Spectral Data 545[nm],0.020792022347
Spectral Data 546[nm],0.020700769499
Spectral Data 547[nm],0.020633609965
Spectral Data 548[nm],0.020591333508
Spectral Data 549[nm],0.020568002015
Spectral Data 550[nm],0.020557388663
Spectral Data 551[nm],0.020553259179
Spectral Data 552[nm],0.020548650995
Spectral Data 553[nm],0.020535977557
Spectral Data 554[nm],0.020507654175
Spectral Data 555[nm],0.020456610247
Spectral Data 556[nm],0.020384963602
Spectral Data 557[nm],0.020302671939
Spectral Data 558[nm],0.020219948143
Spectral Data 559[nm],0.020146425813
Spectral Data 560[nm],0.020082272589
Spectral Data 561[nm],0.020019760355
Spectral Data 562[nm],0.019950903952
Spectral Data 563[nm],0.019868288189
Spectral Data 564[nm],0.019773583859
Spectral Data 565[nm],0.019675634801
Spectral Data 566[nm],0.019583467394
Spectral Data 567[nm],0.019505539909
Spectral Data 568[nm],0.019441919401
Spectral Data 569[nm],0.019386203960
Spectral Data 570[nm],0.019331825897
Spectral Data 571[nm],0.019272688776
Spectral Data 572[nm],0.019209550694
Spectral Data 573[nm],0.019148163497
Spectral Data 574[nm],0.019094381481
Spectral Data 575[nm],0.019053647295
Spectral Data 576[nm],0.019025968388
Spectral Data 577[nm],0.019007487223
Spectral Data 578[nm],0.018994262442
Spectral Data 579[nm],0.018982380629
Spectral Data 580[nm],0.018968084827
Spectral Data 581[nm],0.018947737291
Spectral Data 582[nm],0.018917709589
Spectral Data 583[nm],0.018874567002
Spectral Data 584[nm],0.018817348406
Spectral Data 585[nm],0.018746700138
Spectral Data 586[nm],0.018663294613
Spectral Data 587[nm],0.018568156287
Spectral Data 588[nm],0.018465818837
Spectral Data 589[nm],0.018363034353
Spectral Data 590[nm],0.018266601488
Spectral Data 591[nm],0.018182955682
Spectral Data 592[nm],0.018114382401
Spectral Data 593[nm],0.018060907722
Spectral Data 594[nm],0.018022552133
Spectral Data 595[nm],0.017998976633
Spectral Data 596[nm],0.017987038940
Spectral Data 597[nm],0.017982309684
Spectral Data 598[nm],0.017980352044
Spectral Data 599[nm],0.017976948991
Spectral Data 600[nm],0.017969243228
Spectral Data 601[nm],0.017954913899
Spectral Data 602[nm],0.017931636423
Spectral Data 603[nm],0.017897382379
Spectral Data 604[nm],0.017851654440
Spectral Data 605[nm],0.017794460058
Spectral Data 606[nm],0.017725801095
Spectral Data 607[nm],0.017646078020
Spectral Data 608[nm],0.017557416111
Spectral Data 609[nm],0.017462413758
Spectral Data 610[nm],0.017363665625
Spectral Data 611[nm],0.017262810841
Spectral Data 612[nm],0.017157986760
Spectral Data 613[nm],0.017046587542
Spectral Data 614[nm],0.016925999895
Spectral Data 615[nm],0.016794569790
Spectral Data 616[nm],0.016653470695
Spectral Data 617[nm],0.016504401341
Spectral Data 618[nm],0.016349054873
Spectral Data 619[nm],0.016188634560
Spectral Data 620[nm],0.016023112461
Spectral Data 621[nm],0.015852265060
Spectral Data 622[nm],0.015675891191
Spectral Data 623[nm],0.015495469794
Spectral Data 624[nm],0.015315981582
Spectral Data 625[nm],0.015142877586
Spectral Data 626[nm],0.014981572516
Spectral Data 627[nm],0.014834939502
Spectral Data 628[nm],0.014701433480
Spectral Data 629[nm],0.014579057693
Spectral Data 630[nm],0.014465836808
Spectral Data 631[nm],0.014360390604
Spectral Data 632[nm],0.014262188226
Spectral Data 633[nm],0.014170791022
Spectral Data 634[nm],0.014085609466
Spectral Data 635[nm],0.014004399069
Spectral Data 636[nm],0.013923057355
Spectral Data 637[nm],0.013837237842
Spectral Data 638[nm],0.013742803596
Spectral Data 639[nm],0.013637877069
Spectral Data 640[nm],0.013522082008
Spectral Data 641[nm],0.013395072892
Spectral Data 642[nm],0.013256794773
Spectral Data 643[nm],0.013108901680
Spectral Data 644[nm],0.012953677215
Spectral Data 645[nm],0.012793404981
Spectral Data 646[nm],0.012630504556
Spectral Data 647[nm],0.012467762455
Spectral Data 648[nm],0.012308054604
Spectral Data 649[nm],0.012154243886
Spectral Data 650[nm],0.012008771300
Spectral Data 651[nm],0.011873388663
Spectral Data 652[nm],0.011749763042
Spectral Data 653[nm],0.011639495380
Spectral Data 654[nm],0.011542591266
Spectral Data 655[nm],0.011457496323
Spectral Data 656[nm],0.011382601224
Spectral Data 657[nm],0.011316216551
Spectral Data 658[nm],0.011255877092
Spectral Data 659[nm],0.011198699474
Spectral Data 660[nm],0.011141794734
Spectral Data 661[nm],0.011082386598
Spectral Data 662[nm],0.011018323712
Spectral Data 663[nm],0.010947620496
Spectral Data 664[nm],0.010868295096
Spectral Data 665[nm],0.010779563338
Spectral Data 666[nm],0.010683638044
Spectral Data 667[nm],0.010583192110
Spectral Data 668[nm],0.010480828583
Spectral Data 669[nm],0.010378719307
Spectral Data 670[nm],0.010278552771
Spectral Data 671[nm],0.010181867518
Spectral Data 672[nm],0.010090122931
Spectral Data 673[nm],0.010002019815
Spectral Data 674[nm],0.009912756272
Spectral Data 675[nm],0.009817309678
Spectral Data 676[nm],0.009710717015
Spectral Data 677[nm],0.009589318186
Spectral Data 678[nm],0.009450926445
Spectral Data 679[nm],0.009293455631
Spectral Data 680[nm],0.009114987217
Spectral Data 681[nm],0.008917710744
Spectral Data 682[nm],0.008708141744
Spectral Data 683[nm],0.008493008092
Spectral Data 684[nm],0.008279007860
Spectral Data 685[nm],0.008072880097
Spectral Data 686[nm],0.007881394587
Spectral Data 687[nm],0.007711293176
Spectral Data 688[nm],0.007569045760
Spectral Data 689[nm],0.007455749903
Spectral Data 690[nm],0.007367797196
Spectral Data 691[nm],0.007301432081
Spectral Data 692[nm],0.007252877578
Spectral Data 693[nm],0.007218004670
Spectral Data 694[nm],0.007192408200
Spectral Data 695[nm],0.007171676029
Spectral Data 696[nm],0.007151570171
Spectral Data 697[nm],0.007130291313
Spectral Data 698[nm],0.007107818965
Spectral Data 699[nm],0.007084171753
Spectral Data 700[nm],0.007059341762
Spectral Data 701[nm],0.007032946218
Spectral Data 702[nm],0.007004358806
Spectral Data 703[nm],0.006972949952
Spectral Data 704[nm],0.006937817205
Spectral Data 705[nm],0.006896400824
Spectral Data 706[nm],0.006845030002
Spectral Data 707[nm],0.006779970601
Spectral Data 708[nm],0.006697507109
Spectral Data 709[nm],0.006597224623
Spectral Data 710[nm],0.006479923148
Spectral Data 711[nm],0.006346316077
Spectral Data 712[nm],0.006197866518
Spectral Data 713[nm],0.006038918626
Spectral Data 714[nm],0.005874522496
Spectral Data 715[nm],0.005709725898
Spectral Data 716[nm],0.005549207330
Spectral Data 717[nm],0.005396949593
Spectral Data 718[nm],0.005256858654
Spectral Data 719[nm],0.005132731050
Spectral Data 720[nm],0.005025989842
Spectral Data 721[nm],0.004935743753
Spectral Data 722[nm],0.004861006513
Spectral Data 723[nm],0.004800831899
Spectral Data 724[nm],0.004754791036
Spectral Data 725[nm],0.004722692072
Spectral Data 726[nm],0.004704341292
Spectral Data 727[nm],0.004699185956
Spectral Data 728[nm],0.004705200903
Spectral Data 729[nm],0.004720002413
Spectral Data 730[nm],0.004741209093
Spectral Data 731[nm],0.004766589496
Spectral Data 732[nm],0.004794205539
Spectral Data 733[nm],0.004822152667
Spectral Data 734[nm],0.004848548211
Spectral Data 735[nm],0.004871896934
Spectral Data 736[nm],0.004891089164
Spectral Data 737[nm],0.004905038513
Spectral Data 738[nm],0.004912764765
Spectral Data 739[nm],0.004914300982
Spectral Data 740[nm],0.004910210613
Spectral Data 741[nm],0.004901059903
Spectral Data 742[nm],0.004887237214
Spectral Data 743[nm],0.004868401214
Spectral Data 744[nm],0.004844021983
Spectral Data 745[nm],0.004813572392
Spectral Data 746[nm],0.004776179325
Spectral Data 747[nm],0.004730242770
Spectral Data 748[nm],0.004674093798
Spectral Data 749[nm],0.004606029019
Spectral Data 750[nm],0.004523920827
Spectral Data 751[nm],0.004425196908
Spectral Data 752[nm],0.004307243507
Spectral Data 753[nm],0.004167787265
Spectral Data 754[nm],0.004007717595
Spectral Data 755[nm],0.003829644993
Spectral Data 756[nm],0.003636196489
Spectral Data 757[nm],0.003431811929
Spectral Data 758[nm],0.003228627378
Spectral Data 759[nm],0.003040822688
Spectral Data 760[nm],0.002882533241
Spectral Data 761[nm],0.002763993805
Spectral Data 762[nm],0.002687578090
Spectral Data 763[nm],0.002654624637
Spectral Data 764[nm],0.002666290849
Spectral Data 765[nm],0.002718717558
Spectral Data 766[nm],0.002802616917
Spectral Data 767[nm],0.002908440074
Spectral Data 768[nm],0.003026595339
Spectral Data 769[nm],0.003147080308
Spectral Data 770[nm],0.003259663470
Spectral Data 771[nm],0.003354110988
Spectral Data 772[nm],0.003422355046
Spectral Data 773[nm],0.003465665737
Spectral Data 774[nm],0.003487900598
Spectral Data 775[nm],0.003492912045
Spectral Data 776[nm],0.003483891953
Spectral Data 777[nm],0.003462628927
Spectral Data 778[nm],0.003430715064
Spectral Data 779[nm],0.003389716148
